id,name,start_time,end_time,description,created_at
4,SHIFT 1,08:00:00,18:00:00,,2026-04-22 20:29:02.500382
5,SHIFT 2,10:00:00,21:00:00,,2026-04-22 20:29:56.783479
6,SHIFT 3,15:00:00,03:00:00,,2026-04-22 20:31:27.569696
7,SHIFT 4,23:00:00,09:00:00,,2026-04-22 20:32:01.077081
9,shift 5,15:00:00,23:00:00,,2026-05-16 22:34:15.077840
10,Shift 6,12:00:00,20:00:00,,2026-06-02 00:37:26.726746
11,shift7,07:00:00,17:00:00,,2026-06-02 00:39:55.244452
12,shift 8,08:00:00,20:00:00,,2026-06-02 00:43:13.554606
13,shift9,13:00:00,21:00:00,,2026-06-02 00:44:51.712677
14,shift 10,16:00:00,00:00:00,,2026-06-02 00:46:04.081466
15,shift 2pm-10pm,14:00:00,22:00:00,,2026-06-02 00:48:12.679529
16,shift 6pm-4am,18:00:00,04:00:00,,2026-06-02 00:51:26.958320
17,shift 4pm-11pm,16:00:00,23:00:00,,2026-06-02 00:52:30.484847
18,shift 7pm-7am,19:00:00,07:00:00,,2026-06-02 00:53:37.661163
19,shift 10pm-8am,22:00:00,08:00:00,,2026-06-02 00:55:04.904758
20,shift 11pm-8am,23:00:00,08:00:00,,2026-06-02 00:56:02.621352
21,shift 3pm-12am,15:00:00,00:00:00,,2026-06-02 00:57:02.629270
22,shift 8am-5pm,08:00:00,17:00:00,,2026-06-02 01:09:13.714643
23,shift 02pm-11pm,14:00:00,23:00:00,,2026-06-02 01:10:57.186909
24,shift 11am-9pm,11:00:00,21:00:00,,2026-06-03 21:51:40.513364
25,shift 4pm-12am,16:00:00,00:00:00,,2026-06-09 18:28:24.427165
